"","mu_bar","theta","omega","sigma_x","sigma_y","Q(Theta_{t-1}, Theta_{t-1})","Q(Theta_{t}, Theta_{t-1})","sum_pui","sum_pui_t_diff","sum_pui_x_diff","sum_pui_y_diff","sum_pairwise_g","sum_pui0"
"1",50,10,1,0.5,0.5,-1,-1,-1,-1,-1,-1,-1,-1
"2",69.5807520860909,1.90617124212258,0.433675369149481,0.259581757235213,0.260026071098579,-3218392.71584792,-674177.839754239,155773.657587986,358622.808072706,10439.0601089167,10474.5558971707,632295.057570422,38917.3424120149
"3",87.8870601034814,2.58475382560738,0.292682492705927,0.215405043302458,0.215705244642545,-710209.592734343,-686870.678262292,145541.950865289,496138.1957109,6724.58107635298,6742.52008945351,97612.7605178278,49149.0491347096
"4",87.6753923235495,3.27230650769208,0.220875123659749,0.192299684458893,0.192475890937359,-702892.618564874,-693016.963121061,146804.666318593,662605.02562755,5408.74347127168,5418.54317229309,112330.819910342,47886.3336814056
"5",86.9385687952071,3.93614595812885,0.17781690866707,0.177512084029487,0.177598934049973,-703836.735190243,-698192.836082784,150185.925444235,841389.111881315,4722.79017383035,4727.18181234855,124916.026191136,44505.074555765
"6",75.3655771787184,4.5003964710169,0.15025463046517,0.167244782814442,0.167260541833162,-706427.808884538,-702646.518489943,152528.557623544,1010572.38671462,4253.05068139387,4253.55886267828,135039.134825893,42162.4423764545
"7",74.7920782712808,5.04116004723035,0.131131302540321,0.160071191787943,0.160025674760378,-708628.59810945,-706493.114826,156163.711454814,1184737.46656259,3995.62275246,3993.07412347333,141327.505633281,38527.288545185
"8",66.7369584422479,5.43322998329766,0.118012968880538,0.154719068959884,0.154618104464587,-711976.649489835,-710466.965942572,157355.27109249,1325749.83926278,3756.08751425429,3750.97851258978,147497.257507341,37335.7289075117
"9",66.4578289280506,5.80434710527255,0.108381156721696,0.150871515743746,0.150721855708057,-714344.175887205,-713536.788064428,159592.087821773,1463321.10337367,3625.90486651073,3618.52598424655,149992.921750705,35098.9121782245
"10",66.2110739207899,6.07676255307533,0.10154882221671,0.147795839308216,0.147602615802694,-717110.009073746,-716629.672728404,160171.594331258,1566802.1932938,3493.94363819104,3484.64032216686,153100.403225771,34519.4056687385
"11",61.1967114923331,6.28314869495166,0.0966641870471889,0.145422479384702,0.145188136849592,-718968.818793737,-718579.119229686,160455.032672174,1648361.47614899,3384.29333073448,3373.29870638476,154293.041272595,34235.9673278249
"12",61.1039233246348,6.484953745134,0.092881399334278,0.143750131923925,0.143480643292355,-720047.310906251,-719869.109189988,161684.78961325,1728155.85911842,3333.60728925053,3320.95791329662,154738.02319078,33006.2103867474
"13",60.9763156191167,6.62613507356599,0.0901434125670064,0.142369779385659,0.142068108718842,-721410.400984548,-721306.841843081,161906.540805821,1782694.61251905,3275.93785212581,3261.94088396292,156105.516393453,32784.4591941797
"14",61.1502023452999,6.66365738498672,0.0881682751739956,0.141642396657209,0.141309317634129,-722208.330769848,-722157.502366096,162004.04105282,1823557.39451233,3226.46606259215,3211.2510526549,156516.869695036,32686.9589471802
"15",61.0764469432715,6.79635381447902,0.0867751408063231,0.140624655725394,0.140265640856317,-723264.240237251,-723224.345562478,161953.490481826,1851892.87998011,3196.305701293,3179.92336200436,155672.336458775,32737.5095181777
