"","mu_bar","theta","omega","sigma_x","sigma_y","Q(Theta_{t-1}, Theta_{t-1})","Q(Theta_{t}, Theta_{t-1})","sum_pui","sum_pui_t_diff","sum_pui_x_diff","sum_pui_y_diff","sum_pairwise_g","sum_pui0"
"1",50,10,1,0.5,0.5,-1,-1,-1,-1,-1,-1,-1,-1
"2",40.4049461254946,1.10393065882401,0.355460995813968,0.263781922760444,0.264189496258684,-798760.144651794,-195872.352782966,20731.3677690627,58216.4369429685,1434.95597407472,1439.00765964655,36883.1950010928,22604.6322309371
"3",41.9159013891864,1.46592828736242,0.227193222668713,0.224143106140333,0.224477588366991,-201975.488538184,-198686.080109867,19886.719834169,87277.5573979399,994.874569927513,997.521506329936,3472.53575092663,23449.2801658309
"4",38.6814517178031,1.90443593445488,0.162647099916675,0.205536089691692,0.205662880739146,-202200.928294042,-200391.580718559,21695.8980993907,132848.605381412,913.094732070625,913.935427320505,3973.60185522766,21640.1019006093
"5",35.0011070195738,2.31178530517605,0.124453536554229,0.195388371768564,0.19534273527027,-203541.60786586,-202303.507358974,23757.1437031366,189864.93441301,903.889867115963,903.186023768574,4639.06169890893,19578.8562968634
"6",31.8526792117285,2.64078126977547,0.100389252564163,0.189625737500484,0.189432387054621,-205265.367213271,-204448.613493482,25515.9894345354,252479.044303765,914.398548213022,912.234394725077,5205.16547322313,17820.0105654647
"7",29.3930466887422,2.88547967260085,0.0847473954601344,0.186364401068199,0.186027706475111,-207130.855881679,-206621.733144845,26884.4542323725,314712.719692513,930.492566714767,926.797801387818,5608.58636617765,16451.5457676276
"8",27.5801476186487,3.0604526922609,0.0744871232179705,0.184561048034029,0.184065403385942,-208889.376280112,-208593.821881486,27905.8675178136,371249.841414936,947.426271730327,942.107268511366,5869.27137127753,15430.1324821863
"9",26.2645902159435,3.17804078218289,0.0678038561529102,0.183642845082595,0.183003396916747,-210367.79126619,-210210.551893817,28642.3286873523,418217.781742352,962.885183497868,955.822521818539,6031.71863060421,14693.6713126477
"10",26.2318538239382,3.25881338517629,0.0635186455985161,0.183189222570481,0.182408384929732,-211515.124758224,-211447.228304726,29158.987288481,454196.094716578,976.213205063267,967.58695034003,6126.9095215332,14177.0127115186
"11",26.2064087970732,3.30348483133733,0.0609301268803854,0.182767031887745,0.181862888061323,-212346.155040598,-212319.449165204,29364.6917279953,476638.917567554,979.389536522806,969.377436770705,6188.74162496939,13971.3082720049
"12",24.7884228606305,3.31881956872701,0.0593883074093376,0.18259292616708,0.181578832697208,-212848.60326203,-212816.971286787,29468.3242481314,490588.50925835,979.323031648264,968.160381040999,6203.12739931614,13867.6757518687
"13",24.7807804639936,3.34825984413229,0.0583097897213465,0.182769375419596,0.181664509832343,-213156.930987365,-213150.447486329,29755.368767955,504416.120353813,991.085206478236,978.830255543256,6190.99446060702,13580.6312320448
"14",24.7622474136504,3.36401219674382,0.0576633426183175,0.18277884571115,0.181598445031117,-213440.587379993,-213438.479781371,29833.5096555245,511328.844979793,995.2598099703,982.202161884178,6231.05492440973,13502.4903444754
"15",24.7621530010377,3.36399037693374,0.0572815514230622,0.182841604138005,0.181640723256271,-213593.335164452,-213592.662442555,29872.3369143673,515377.537862559,996.714948304007,983.005277101862,6245.54403116733,13463.6630856327
"16",24.76208500269,3.36397500644086,0.0570646851360737,0.182885922969205,0.181666139352144,-213697.085490132,-213696.860449538,29886.3185402852,517555.090391558,997.510926695403,983.613882581235,6240.16140895951,13449.6814597147
"17",24.762037265231,3.36396414841588,0.0569414519626316,0.182916802592309,0.18167972237159,-213757.291458008,-213757.215222081,29894.5729640731,518804.393723034,998.043100716102,983.98269456038,6237.307381163,13441.4270359269
"18",24.7619481309451,3.36394510641315,0.0568713819558056,0.182959062907778,0.181671164897503,-213792.064115805,-213792.036365978,29899.4185475159,519519.40543895,998.396000492743,984.191425907832,6235.78908143408,13436.581452484
"19",24.7618819986751,3.36393074738713,0.0568312049657997,0.182987563037842,0.181662709445717,-213812.637904634,-213812.627554997,29902.4543656811,519932.297001379,998.799988164534,984.192515273117,6235.1093311736,13433.5456343188
"20",24.761853996924,3.36392522511357,0.0568311278578495,0.183003726826647,0.181662426801705,-213824.506820576,-213824.506596086,29904.2157642988,520169.708194255,999.065732804526,984.165980972562,6234.72915482365,13431.7842357012
"21",24.0088245154011,3.35771164554593,0.0568088247041803,0.183090331100027,0.181731230617507,-213826.032486402,-213819.52168873,29904.7722875126,520181.002709565,999.212731108665,984.184356677869,6235.12260013721,13431.2277124873
"22",24.0086474828354,3.35896285287757,0.056708342368543,0.183404554637538,0.182038598836988,-213843.977662735,-213843.549134777,30034.1693529075,523356.797654498,1006.33203046541,991.083116634119,6227.09694691773,13301.8306470926
"23",24.0085399786289,3.35916055287442,0.0566452631821953,0.183557929511831,0.182184457597092,-213927.714235917,-213927.613153949,30060.2031089248,524381.870916808,1009.74246328868,994.439502926994,6243.14365031629,13275.7968910753
"24",24.0084868547281,3.3591725530486,0.0566013967621245,0.183630772373289,0.182256963569872,-213971.773265378,-213971.746219434,30072.5930337666,524946.10138857,1011.38140790606,996.018498638915,6249.79625986263,13263.4069662334
"25",24.0084568187392,3.35915797505236,0.0565809312316032,0.183668818304207,0.182294838882125,-213996.498037849,-213996.490620685,30078.8516873879,525292.129861015,1012.16490744591,996.79800956017,6252.58292798943,13257.148312612
"26",24.0084401272017,3.35914939055131,0.0565687010601005,0.183687897633042,0.182313876152072,-214008.809643274,-214008.807402882,30082.0277672597,525458.56207616,1012.57174879812,997.203024633957,6254.0521706002,13253.97223274
