,score_change_repay,score_change_default,utility_default,potential_score_update_mode,agent,avg_max_unfairness_dp,avg_mean_unfairness_dp,initial_unfairness_dp,avg_max_unfairness_cs,avg_mean_unfairness_cs,initial_unfairness_cs,avg_total_utility,n_traces
0,8,-16,-10,equal,eqopp,0.25357970843639205,0.2454919968773066,0.24169274361779275,30.307973291311363,29.43725811614225,28.470232739418435,47886.0,7
1,12,-16,-10,equal,eqopp,0.25252982284975484,0.24572731896860298,0.24169274361779275,30.684185835287916,29.72316411868175,28.470232739418435,49330.57142857143,7
2,16,-16,-10,equal,eqopp,0.25148545624024454,0.24538965448232297,0.2416927436177928,30.780589475939937,29.800176859986394,28.470232739418435,49560.5,8
3,20,-16,-10,equal,eqopp,0.25165922156599824,0.2456050826245269,0.24169274361779275,30.685030432715035,29.79150347530356,28.470232739418435,48328.142857142855,7
4,8,-24,-10,equal,eqopp,0.25601160506823156,0.24778334783120654,0.24169274361779275,30.496072157932428,29.554804411789775,28.470232739418435,46941.0,7
5,12,-24,-10,equal,eqopp,0.25597245022929627,0.2475457278158221,0.24169274361779275,30.77251469607895,29.759159056518957,28.470232739418435,47428.142857142855,7
6,16,-24,-10,equal,eqopp,0.254278289173608,0.2468395198892994,0.24169274361779275,30.990462764335497,29.927709165465778,28.470232739418435,49366.42857142857,7
7,20,-24,-10,equal,eqopp,0.25441086341888464,0.24747625000215798,0.2416927436177928,30.875829577643486,29.856921614292673,28.470232739418435,49185.25,8
8,8,-32,-10,equal,eqopp,0.2568289751939818,0.24785557329499217,0.24169274361779275,30.682419024618095,29.639422393766665,28.470232739418435,47290.142857142855,7
9,12,-32,-10,equal,eqopp,0.25707238628937873,0.24843082066681338,0.24169274361779275,30.989016710852912,29.848886159646526,28.470232739418435,48719.857142857145,7
10,16,-32,-10,equal,eqopp,0.2550574061387741,0.24770233132544053,0.24169274361779275,30.99933100732631,29.89618059412448,28.470232739418435,47639.142857142855,7
11,20,-32,-10,equal,eqopp,0.25522780964239106,0.24831576675435332,0.24169274361779275,31.183425925891054,30.017268590823694,28.470232739418435,50942.142857142855,7
12,8,-40,-10,equal,eqopp,0.2605926990125079,0.2495552663842444,0.24169274361779275,30.918268694273912,29.77948077942326,28.470232739418435,47892.28571428572,7
13,12,-40,-10,equal,eqopp,0.25730174741191425,0.2488945925823833,0.24169274361779275,31.229206592741424,29.977118849439876,28.470232739418435,48977.42857142857,7
14,16,-40,-10,equal,eqopp,0.2570858796837925,0.2487482125185873,0.24169274361779275,31.256886541307704,30.033974434815132,28.470232739418435,48731.71428571428,7
15,20,-40,-10,equal,eqopp,0.25606406793295733,0.2488076668108162,0.24169274361779275,31.253472808572457,30.080057056860987,28.470232739418435,49505.71428571428,7
16,8,-16,-9,equal,eqopp,0.25733316609397405,0.25126376875107115,0.24707900714799094,30.342154977292783,29.461145968370307,28.470232739418435,47716.0,7
17,12,-16,-9,equal,eqopp,0.25971628443167727,0.2524551520885091,0.24707900714799094,30.75948335593784,29.74932781378616,28.470232739418435,51176.857142857145,7
18,16,-16,-9,equal,eqopp,0.25909326952683037,0.2525598608516075,0.24707900714799094,30.863614312189128,29.79566490991056,28.470232739418435,51646.71428571428,7
19,20,-16,-9,equal,eqopp,0.2594655702969146,0.252566127152854,0.24707900714799094,30.94128001417544,29.93633265541907,28.470232739418435,53191.57142857143,7
20,8,-24,-9,equal,eqopp,0.2605024666114551,0.25308527655052904,0.24707900714799094,30.737178711114804,29.66174305292946,28.470232739418435,51260.42857142857,7
21,12,-24,-9,equal,eqopp,0.2634852712895572,0.2544958589968343,0.24707900714799094,30.952055125438672,29.810075965114788,28.470232739418435,49164.42857142857,7
22,16,-24,-9,equal,eqopp,0.2635189981102763,0.2550366351222937,0.24707900714799094,31.041445733020726,29.943876654616115,28.470232739418435,50762.5,6
23,20,-24,-9,equal,eqopp,0.26235573774392756,0.2544639015761371,0.24707900714799094,31.128091927171198,30.011870407494392,28.470232739418435,52820.857142857145,7
24,8,-32,-9,equal,eqopp,0.264053889187083,0.25529112197373405,0.24707900714799094,30.869336583345053,29.731973479487397,28.470232739418435,49748.142857142855,7
25,12,-32,-9,equal,eqopp,0.2651544342817435,0.25601163246297315,0.24707900714799094,31.086391475721662,29.880185082229364,28.470232739418435,49790.42857142857,7
26,16,-32,-9,equal,eqopp,0.2658709219942177,0.2557669509870164,0.24707900714799094,31.337177600438938,30.085644074484687,28.470232739418435,51906.0,7
27,20,-32,-9,equal,eqopp,0.26408517028994466,0.25595988758857985,0.24707900714799094,31.25871027266819,30.08478794799313,28.470232739418435,51454.28571428572,7
28,8,-40,-9,equal,eqopp,0.2665396598894247,0.25677122991076834,0.24707900714799094,31.1058674450674,29.88118824520998,28.470232739418435,50711.166666666664,6
29,12,-40,-9,equal,eqopp,0.266091561812481,0.25592303158049123,0.24707900714799094,31.37733130292665,30.06272285639326,28.470232739418435,51319.857142857145,7
30,16,-40,-9,equal,eqopp,0.2662322744373725,0.2562419027069595,0.24707900714799094,31.47075632786299,30.165479755190724,28.470232739418435,51022.0,7
31,20,-40,-9,equal,eqopp,0.2648651355321759,0.25601158008659014,0.24707900714799094,31.47227469200332,30.216503947668656,28.470232739418435,50476.857142857145,7
32,8,-16,-8,equal,eqopp,0.26438077039126,0.2587261950147829,0.2521252173733977,30.574871395341383,29.587976215931146,28.470232739418435,52985.57142857143,7
33,12,-16,-8,equal,eqopp,0.2682207093049146,0.2602893432900208,0.2521252173733977,30.946681411092534,29.76888929464169,28.470232739418435,54714.42857142857,7
