,hot_spot_discover_rate,non_hot_spot_discover_rate,hot_spot_effect_size,avg_max_unfairness_rln,avg_mean_unfairness_rln,initial_unfairness_rln,avg_utility_mean_discover_rate,avg_utility_total_discover_n,avg_n_correct_hotspot,n_traces
0,1.0,0.5,1,0.26933883179576734,0.16263082633344386,0.007390833830002435,0.6677266369084041,33136.5,15.935859375,32
1,1.0,0.45,1,0.27395579197656494,0.1723826469574928,0.007390833830002435,0.6324666619721628,31389.5625,15.7809375,16
2,1.0,0.4,1,0.29770442979455475,0.18140197023052892,0.007390833830002435,0.5981225157035223,29683.458333333332,15.666666666666666,24
3,1.0,0.35,1,0.298790371394417,0.18940104045066009,0.007390833830002435,0.5620816814013931,27896.6875,15.46484375,16
4,1.0,0.3,1,0.3319100929186329,0.20655550947712786,0.007390833830002435,0.5267716800407606,26151.208333333332,15.24875,24
5,1.0,0.25,1,0.3515501524646029,0.22100630286466974,0.007390833830002435,0.48893408204049876,24270.875,14.965208333333331,24
6,1.0,0.2,1,0.37131104654409036,0.23474103706947663,0.007390833830002435,0.44993858556275995,22337.59375,14.593984375000002,32
7,0.95,0.5,1,0.26899245605620936,0.16276201186585598,0.007390833830002435,0.6510769110278962,32308.3125,15.97359375,16
8,0.95,0.45,1,0.27734932349004254,0.168956786354597,0.007390833830002435,0.6164224163562997,30591.875,15.84640625,16
9,0.95,0.4,1,0.2839387156197346,0.17575226735357535,0.007390833830002435,0.5820157230346045,28885.8125,15.73515625,16
10,0.95,0.35,1,0.3011813948532629,0.18852418417700761,0.007390833830002435,0.5470687687521208,27154.8125,15.521249999999998,16
11,0.95,0.3,1,0.3167631995147952,0.1972459093771589,0.007390833830002435,0.5099951146551757,25313.875,15.266770833333334,24
12,0.95,0.25,1,0.3442818980257132,0.21495203083521475,0.007390833830002435,0.4736059597482859,23504.3125,15.072656250000001,16
13,0.95,0.2,1,0.3551199272918824,0.23032415237761386,0.007390833830002435,0.4353329212155674,21607.5,14.661666666666667,24
14,0.9,0.5,1,0.2635587641354888,0.1569744447016156,0.007390833830002435,0.6349589116544898,31511.5625,16.029062500000002,16
15,0.9,0.45,1,0.27196946379537534,0.1627328707582821,0.007390833830002435,0.6001765732471406,29788.291666666668,15.903229166666668,24
16,0.9,0.4,1,0.2793571558743736,0.17442186586406835,0.007390833830002435,0.5671716231216397,28142.8125,15.78171875,16
17,0.9,0.35,1,0.3061271561790343,0.18859678827258128,0.007390833830002435,0.5303699351633752,26323.3125,15.5684375,16
18,0.9,0.3,1,0.309514673176198,0.19492461852484413,0.007390833830002435,0.4949403238158275,24568.041666666668,15.377291666666666,24
19,0.9,0.25,1,0.337128374207125,0.21023537381402244,0.007390833830002435,0.4588090939334932,22772.5625,15.12375,16
20,0.9,0.2,1,0.3436435498943286,0.22122486294972785,0.007390833830002435,0.42067507410889865,20883.166666666668,14.811979166666667,24
21,0.85,0.5,1,0.26542457968856875,0.1585029184572885,0.007390833830002435,0.618095182120683,30672.625,16.0728125,16
22,0.85,0.45,1,0.2598170000579705,0.16002762261740514,0.007390833830002435,0.5838993910619107,28975.916666666668,15.955416666666666,24
23,0.85,0.4,1,0.28694185751993256,0.17217374526377993,0.007390833830002435,0.5493978089028028,27264.0,15.812708333333333,24
24,0.85,0.35,1,0.30027740695689853,0.17995343392381336,0.007390833830002435,0.5149478017492146,25557.625,15.66390625,32
25,0.85,0.3,1,0.3051821992679125,0.1939576782357132,0.007390833830002435,0.4795177827083699,23799.625,15.47734375,16
26,0.85,0.25,1,0.32647284460108067,0.20592345499263978,0.007390833830002435,0.44281480906004567,21982.708333333332,15.188854166666667,24
27,0.85,0.2,1,0.35008725340599023,0.2203218159220603,0.007390833830002435,0.4059320754450221,20149.59375,14.86125,32
28,0.8,0.5,1,0.25679185558948237,0.14941560935368453,0.007390833830002435,0.6016386916282395,29852.125,16.0890625,16
29,0.8,0.45,1,0.2556054764099565,0.15702388348409058,0.007390833830002435,0.5671855839969039,28146.75,15.995312499999999,24
30,0.8,0.4,1,0.27172268950062367,0.16341635872582974,0.007390833830002435,0.533455798191471,26472.166666666668,15.864479166666664,24
31,0.8,0.35,1,0.2975110036652137,0.17705613955286498,0.007390833830002435,0.49836744340549205,24734.375,15.71546875,16
32,0.8,0.3,1,0.28470735359404126,0.18080053848449068,0.007390833830002435,0.4643578213182458,23047.125,15.59421875,16
33,0.8,0.25,1,0.32317345551022914,0.19664300213832656,0.007390833830002435,0.4280144211298207,21246.6875,15.303437500000001,16
34,0.8,0.2,1,0.33539440211428084,0.2109391201164737,0.007390833830002435,0.38991967193035526,19352.9375,14.98203125,16
