,model,threshold,n_hosp_mode,n_prescription_mode,avg_max_unfairness_risk,avg_mean_unfairness_risk,initial_unfairness_risk,avg_max_gap_tpr,avg_mean_gap_tpr,initial_gap_tpr,avg_max_gap_fpr,avg_mean_gap_fpr,initial_gap_fpr,avg_max_gap_precision,avg_mean_gap_precision,initial_gap_precision,avg_max_gap_f1,avg_mean_gap_f1,initial_gap_f1,avg_max_gap_accuracy,avg_mean_gap_accuracy,initial_gap_accuracy,avg_utility_tpr,avg_utility_fpr,avg_utility_precision,avg_utility_f1,avg_utility_accuracy,n_traces
10,mlp,0.5,expectation,expectation,0.025072434544563295,0.014453728133440018,0.0038971900939941406,0.12249417249417247,0.09385200725200724,0.10204610204610198,0.012813324898340053,0.007983729469921028,0.009838764492575588,0.031585067947085446,0.015001204721117819,0.02926161586268128,0.05364130945600128,0.021954063693757596,0.05051664753157292,0.018640360330075677,0.012770766322667515,0.016443301632262264,0.5678500941619585,0.10266411131297912,0.13839346023022756,0.21397518003363342,0.8897613386440385,10
11,mlp,0.55,expectation,expectation,0.02552882432937622,0.014441185273230076,0.0038971900939941406,0.10980315980315983,0.0886979797979798,0.09052059052059054,0.014847504948896296,0.01099588692642928,0.007290523319812378,0.03573525080911021,0.014226027793860289,0.03017902813299228,0.05571941459460115,0.022624334578412026,0.05202434028196157,0.020366338571201303,0.01658721606595678,0.014043626144675248,0.4990670433145009,0.06486456330039438,0.17879221077869545,0.2534207715363186,0.9251106589315092,10
12,mlp,0.6,expectation,expectation,0.025603219866752625,0.014474034230411052,0.0038971900939941406,0.10444185444185446,0.08164470344470345,0.07264957264957266,0.0169324687570556,0.011439282170274895,0.005783703093713904,0.05213634587996184,0.024401562407827093,0.04361830815539991,0.0678444029665368,0.037926138394434664,0.05794937428896478,0.022430223470938426,0.017646512013042234,0.012744292381415723,0.4362625235404896,0.03806959719945052,0.23646697194315042,0.29705304249898773,0.9498458221491038,10
13,mlp,0.7,expectation,expectation,0.02560843825340271,0.014641447770595551,0.0038971900939941406,0.09456099456099457,0.06684900284900284,0.06190106190106193,0.013970028387523264,0.008136495535209962,0.0036990995212814793,0.08029997873713071,0.04777597545617553,0.06643356643356642,0.07762368079299989,0.05588440986513571,0.06633235047241896,0.020325571051235614,0.015019259834016859,0.011333081173258153,0.3487329566854991,0.01921129968538131,0.31482422409426614,0.3241939350570025,0.96625836868993,10
14,xgboost,0.3,same,expectation,0.031809043139219284,0.01737845689058304,0.0011719241738319397,0.11275576275576275,0.08169373219373219,0.10334110334110336,0.044360911010873576,0.029109413430377894,0.004772349190393904,0.039750063807536234,0.02971695448108544,0.036744219596716754,0.05490283610826937,0.045617894242948376,0.04128730900166255,0.04297717109312297,0.026309040861085257,1.127365334552266e-05,0.7487932203389831,0.22172578543891525,0.08117872590029054,0.14463646425797144,0.7775964758853581,10
15,xgboost,0.4,same,expectation,0.03205697983503342,0.017507892102003098,0.0011719241738319397,0.12912457912457914,0.10632320642320643,0.10787360787360789,0.04340487067142409,0.025875965859132977,1.8857076317359278e-05,0.05133548088106914,0.03815312887041862,0.03317493698929219,0.06330182729980029,0.04955691078057961,0.01910753938881249,0.04003033004614902,0.021703443187750276,0.005875366928780101,0.6681404896421845,0.14573434661230997,0.11170451181686485,0.18683011580021835,0.8499868213698155,10
16,xgboost,0.45,same,expectation,0.03149959444999695,0.017226826399564743,0.0011719241738319397,0.14349909349909346,0.11879505309505309,0.11344211344211344,0.04043997264104453,0.022110946078557615,0.0021698988606597136,0.05277749900962834,0.04063029300782962,0.023029144768275167,0.061837814972991824,0.0463851062794485,0.00048245220357245877,0.03614797622549285,0.01786531053157566,0.008448894811207586,0.6267065913370998,0.11357929720388175,0.1328038311269497,0.21299695179068862,0.8804501342107542,10
17,xgboost,0.5,same,expectation,0.03186911344528198,0.01700323075056076,0.0011719241738319397,0.15385910385910387,0.1312517741517741,0.13403263403263396,0.041733255240126346,0.022229736267948393,0.0017892260762002836,0.06575498636548902,0.04763853462589886,0.012569533590072735,0.06880780618676029,0.04842409892396306,0.02376170250128956,0.0364349871622026,0.01779958284166841,0.008983428754459677,0.5827050847457627,0.08760758629857757,0.157274138248069,0.2396415083374282,0.9048132305827343,10
18,xgboost,0.55,same,expectation,0.0312802717089653,0.017012860625982285,0.0011719241738319397,0.17701372701372703,0.14835982905982908,0.12069412069412074,0.045815782243191036,0.02272862581604057,0.0006083638835876135,0.07788956806240274,0.057100794019344946,0.021673963759547443,0.07729113857785308,0.04795010653651798,0.022847293027849325,0.039182500070686424,0.017793220461958144,0.007926553896774435,0.5314900188323917,0.06569472238223954,0.18475686263637894,0.2648483775762369,0.9250449562732704,10
19,xgboost,0.6,same,expectation,0.031848613172769547,0.017242785543203354,0.0011719241738319397,0.18712768712768715,0.1512,0.11098161098161097,0.04062601306423303,0.015998954398422922,0.0011243699627235017,0.08147232287821939,0.05574286462644608,0.017565485362095512,0.0708690928401081,0.03971630822290623,0.030709891612147322,0.03263251651997149,0.012450539706560671,0.008461133055213788,0.4889638418079095,0.046491682545309526,0.22365998608830698,0.29759768323067914,0.942828902935319,10
